MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
MCO_C;NUM_ENQ;$;37;1;String
MCO_A;RSA_NUM;$;10;0;String
MCO_A;ETA_NUM;$;9;0;String
MCO_A;CMP_DAT;$;1;0;String
MCO_A;PHA_ACT;$;1;0;String
MCO_A;MOD_ACT;$;4;0;String
MCO_A;RUM_SEQ;$;2;0;String
MCO_A;REM_EXP_ACT;$;1;0;String
MCO_A;ENT_DAT_DEL;$;3;0;String
MCO_A;ANP_ACT;$;1;0;String
MCO_A;CDC_ACT;$;7;0;String
MCO_A;ACV_ACT;$;1;0;String
MCO_A;RSS_NUM;$;3;0;String
MCO_A;NBR_EXE_ACT;;3;0;Integer
MCO_A;DOC_ACT;$;1;0;String
MCO_A;EXT_PMSI;$;5;0;String
MCO_B;AGE_ANN;$;3;1;Integer
MCO_B;AGE_GES;$;4;1;Integer
MCO_B;AGE_JOU;$;5;1;Integer
MCO_B;ANN_IVG_PREC;$;6;1;String
MCO_B;ANT_SUP_NBR;$;7;1;Integer
MCO_B;AUT_PGV_NBR;$;8;1;Integer
MCO_B;BDI_COD;$;2;1;String
MCO_B;BDI_DEP;DATETIME;1;1;Date
MCO_B;BEB_SEJ;$;9;1;String
MCO_B;BEH_NBJ;$;10;1;Integer
MCO_B;CAI_SUP_NBR;$;11;1;Integer
MCO_B;COD_SEX;$;12;1;String
MCO_B;DEL_REG_ENT;$;13;1;Integer
MCO_B;DGN_PAL;$;14;1;String
MCO_B;DGN_REL;$;15;1;String
MCO_B;DOS_TYP;$;16;1;String
MCO_B;ENT_MOD;$;17;1;String
MCO_B;ENT_PRV;$;18;1;String
MCO_B;ETA_NUM;$;19;1;String
MCO_B;ETE_GHS_NUM;$;20;1;Integer
MCO_B;EXB_NBJ;$;21;1;Integer
MCO_B;GHS_9615_ACT;$;22;1;Integer
MCO_B;GHS_HS_INNOV;$;23;1;String
MCO_B;GHS_NUM;$;24;1;String
MCO_B;GRC_GHM;$;25;1;String
MCO_B;GRC_RET;$;26;1;String
MCO_B;GRC_VER;$;27;1;String
MCO_B;GRG_GHM;$;28;1;String
MCO_B;GRG_RET;$;29;1;String
MCO_B;GRG_VER;$;30;1;String
MCO_B;INNOV_NUM;$;31;1;String
MCO_B;MACH_TYP_RAD;$;32;1;String
MCO_B;NBR_ACT;$;33;1;Integer
MCO_B;NBR_DGN;$;34;1;Integer
MCO_B;NBR_IVG_ANT;$;35;1;Integer
MCO_B;NBR_NAIS_ANT;$;36;1;Integer
MCO_B;NBR_RUM;$;37;1;Integer
MCO_B;NBR_SEA;$;38;1;Integer
MCO_B;NBR_SUP_NN1;$;39;1;Integer
MCO_B;NBR_SUP_NN2;$;40;1;Integer
MCO_B;NBR_SUP_NN3;$;41;1;Integer
MCO_B;NBR_SUP_REA;$;42;1;Integer
MCO_B;NBR_SUP_REP;$;43;1;Integer
MCO_B;NBR_SUP_SOI;$;44;1;Integer
MCO_B;NBR_SUP_SRC;$;45;1;Integer
MCO_B;NBR_SUP_STF;$;46;1;Integer
MCO_B;PAS_LIT_DED;$;47;1;String
MCO_B;PLO_ACT;$;48;1;String
MCO_B;POI_NAI;$;49;1;Integer
MCO_B;RSA_NUM;$;50;1;String
MCO_B;RSS_NUM;$;51;1;String
MCO_B;RTH_SUP_NBR;$;52;1;Integer
MCO_B;SEJ_COD_CONF;$;53;1;String
MCO_B;SEJ_NBJ;$;54;1;Integer
MCO_B;SEJ_TYP;$;55;1;String
MCO_B;SEQ_RUM;$;56;1;String
MCO_B;SOR_ANN;$;57;1;String
MCO_B;SOR_DES;$;58;1;String
MCO_B;SOR_MOD;$;59;1;String
MCO_B;SOR_MOI;$;60;1;String
MCO_B;SUP_ENT_DPA;$;61;1;Integer
MCO_B;SUP_ENT_DPC;$;62;1;Integer
MCO_B;SUP_ENT_HEM;$;63;1;Integer
MCO_B;SUP_HEM_HS;$;64;1;Integer
MCO_B;SUP_RAD_PED;$;65;1;Integer
MCO_B;TAR_SEQ_NUM;$;66;1;String
MCO_B;TOP_GHS_MIN_SUS;$;67;1;String
MCO_B;TOP_VLV_AOR;$;68;1;String
MCO_B;TYP_GEN_RSA;$;69;1;String
MCO_B;UHCD_TOP;$;70;1;String
MCO_C;EXE_SOI_AMD;$;1;1;String
MCO_C;EXE_SOI_DTD;DATETIME;2;1;Date
MCO_C;EXE_SOI_AMF;$;3;1;String
MCO_C;EXE_SOI_DTF;DATETIME;4;1;Date
MCO_C;COH_NAI_RET;$;5;1;String
MCO_C;COH_SEX_RET;$;6;1;String
MCO_C;DAT_RET;$;7;1;String
MCO_C;ENT_DAT;$;8;1;String
MCO_C;ETA_NUM;$;9;1;String
MCO_C;FHO_RET;$;10;1;String
MCO_C;FOR_NUM;$;11;1;String
MCO_C;HOS_NNE_RET;$;12;1;String
MCO_C;HOS_NN_MAM;$;13;1;String
MCO_C;HOS_ORG_RET;$;14;1;String
MCO_C;HOS_PLO;$;15;1;String
MCO_C;NAI_RET;$;16;1;String
MCO_C;NIR_ANO_MAM;$;17;1;String
MCO_C;NIR_RET;$;18;1;String
MCO_C;NUM_DAT_AT;$;19;1;String
MCO_C;NUM_DAT_AT_RET;$;20;1;String
MCO_C;ORG_CPL_NUM;$;21;1;String
MCO_C;ORG_CPL_NUM_RET;$;22;1;String
MCO_C;PMS_RET;$;23;1;String
MCO_C;RNG_BEN;$;24;1;String
MCO_C;RNG_BEN_RET;$;25;1;String
MCO_C;RNG_NAI;$;26;1;String
MCO_C;RNG_NAI_RET;$;27;1;String
MCO_C;RSA_NUM;$;28;1;String
MCO_C;SEJ_MER_RET;$;29;1;String
MCO_C;SEJ_NUM;$;30;1;String
MCO_C;SEJ_RET;$;31;1;String
MCO_C;SEX_RET;$;32;1;String
