MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
T_MCO__A;RSA_NUM;$;10;0;String
T_MCO__A;ETA_NUM;$;9;0;String
T_MCO__A;CMP_DAT;$;1;0;String
T_MCO__A;PHA_ACT;$;1;0;String
T_MCO__A;MOD_ACT;$;4;0;String
T_MCO__A;RUM_SEQ;$;2;0;String
T_MCO__A;REM_EXP_ACT;$;1;0;String
T_MCO__A;ENT_DAT_DEL;$;3;0;String
T_MCO__A;ANP_ACT;$;1;0;String
T_MCO__A;CDC_ACT;$;7;0;String
T_MCO__A;ACV_ACT;$;1;0;String
T_MCO__A;RSS_NUM;$;3;0;String
T_MCO__A;NBR_EXE_ACT;;3;0;Integer
T_MCO__A;DOC_ACT;$;1;0;String
T_MCO__B;NBR_RUM;;3;0;Integer
T_MCO__B;COD_SEX;$;1;0;String
T_MCO__B;DLY_ACT;$;4;0;String
T_MCO__B;RSS_NUM;$;3;0;String
T_MCO__B;SEJ_TYP;$;1;0;String
T_MCO__B;SUP_ENT_DPA;;4;0;Integer
T_MCO__B;AGE_ANN;;4;0;Integer
T_MCO__B;SOR_DES;$;1;0;String
T_MCO__B;SEQ_RUM;$;2;0;String
T_MCO__B;ENT_MOD;$;1;0;String
T_MCO__B;RSA_NUM;$;10;0;String
T_MCO__B;GHS_9611_ACT;;4;0;Integer
T_MCO__B;GHS_9511_ACT;;4;0;Integer
T_MCO__B;GHM_24705Z_ACT;;4;0;Integer
T_MCO__B;GRC_GHM;$;6;0;String
T_MCO__B;ANT_SUP_NBR;;4;0;Integer
T_MCO__B;PAS_LIT_DED;$;1;0;String
T_MCO__B;TAR_SEQ_NUM;$;3;0;String
T_MCO__B;AUT_PGV_NBR;;2;0;Integer
T_MCO__B;GHS_6523_ACT;;4;0;Integer
T_MCO__B;SEJ_COD_CONF;$;1;0;String
T_MCO__B;GHS_9622_ACT;;4;0;Integer
T_MCO__B;NBR_SEA;;3;0;Integer
T_MCO__B;GHS_9619_ACT;;4;0;Integer
T_MCO__B;COD_IGS;$;3;0;String
T_MCO__B;DGN_PAL;$;6;0;String
T_MCO__B;GHS_9610_ACT;;4;0;Integer
T_MCO__B;DEL_REG_ENT;;4;0;Integer
T_MCO__B;DOS_TYP;$;1;0;String
T_MCO__B;SOR_MOD;$;1;0;String
T_MCO__B;SEJ_NBJ;;5;0;Integer
T_MCO__B;FAIS_NBR;;2;0;Integer
T_MCO__B;BDI_DEP;$;2;0;String
T_MCO__B;ENT_PRV;$;1;0;String
T_MCO__B;SUP_HEM_HS;;4;0;Integer
T_MCO__B;GHS_9612_ACT;;4;0;Integer
T_MCO__B;GRG_GHM;$;6;0;String
T_MCO__B;BDI_COD;$;5;0;String
T_MCO__B;BEH_NBJ;;5;0;Integer
T_MCO__B;NBR_SUP_REA;;4;0;Integer
T_MCO__B;NBR_SUP_SOI;;4;0;Integer
T_MCO__B;NBR_SUP_NN3;;4;0;Integer
T_MCO__B;POI_NAI;;5;0;Integer
T_MCO__B;GHM_24707Z_ACT;;4;0;Integer
T_MCO__B;AGE_GES;;3;0;Integer
T_MCO__B;NBR_SUP_NN2;;4;0;Integer
T_MCO__B;SUP_ENT_DPC;;4;0;Integer
T_MCO__B;NBR_SUP_SRA;;4;0;Integer
T_MCO__B;NBR_DGN;;5;0;Integer
T_MCO__B;MACH_TYP_RAD;$;1;0;String
T_MCO__B;NBR_SUP_SRC;;4;0;Integer
T_MCO__B;ETE_GHS_NUM;;5;0;Integer
T_MCO__B;GHS_9621_ACT;;4;0;Integer
T_MCO__B;TOP_VLV_AOR;$;1;0;String
T_MCO__B;INNOV_NUM;$;15;0;String
T_MCO__B;RTH_SUP_NBR;;2;0;Integer
T_MCO__B;GRC_VER;$;2;0;String
T_MCO__B;GHS_NUM;$;4;0;String
T_MCO__B;SOR_MOI;$;2;0;String
T_MCO__B;NBR_SUP_NN1;;4;0;Integer
T_MCO__B;CAI_SUP_NBR;;4;0;Integer
T_MCO__B;SOR_ANN;$;4;0;String
T_MCO__B;GHS_9620_ACT;;4;0;Integer
T_MCO__B;GHS_9515_ACT;;4;0;Integer
T_MCO__B;GHS_9510_ACT;;4;0;Integer
T_MCO__B;NBR_SUP_SSC;;4;0;Integer
T_MCO__B;SUP_RAD_PED;;4;0;Integer
T_MCO__B;GHS_9524_ACT;;4;0;Integer
T_MCO__B;EXB_NBJ;;4;0;Integer
T_MCO__B;GHM_24706Z_ACT;;4;0;Integer
T_MCO__B;GHS_9512_ACT;;4;0;Integer
T_MCO__B;NBR_SUP_REP;;4;0;Integer
T_MCO__B;GRC_RET;$;3;0;String
T_MCO__B;GHS_9615_ACT;;4;0;Integer
T_MCO__B;GRG_RET;$;3;0;String
T_MCO__B;SUP_ENT_HEM;;4;0;Integer
T_MCO__B;UHCD_TOP;$;1;0;String
T_MCO__B;NBR_ACT;;6;0;Integer
T_MCO__B;NBR_SUP_STF;;4;0;Integer
T_MCO__B;ETA_NUM;$;9;0;String
T_MCO__B;BEB_SEJ;$;1;0;String
T_MCO__B;AGE_JOU;;4;0;Integer
T_MCO__B;NBR_SEA_SROS;;3;0;Integer
T_MCO__B;GRG_VER;$;2;0;String
T_MCO__B;PLO_ACT;$;1;0;String
T_MCO__B;DGN_REL;$;6;0;String
T_MCO__C;ETA_NUM;$;9;0;String
T_MCO__C;DAT_RET;$;1;0;String
T_MCO__C;COH_NAI_RET;$;1;0;String
T_MCO__C;NIR_ANO_MAM;$;32;0;String
T_MCO__C;SEJ_RET;$;1;0;String
T_MCO__C;HOS_ORG_RET;$;1;0;String
T_MCO__C;FHO_RET;$;1;0;String
T_MCO__C;EXE_SOI_DTF;DATETIME;20;0;Date
T_MCO__C;SOR_MOI;$;2;0;String
T_MCO__C;SOR_AM;$;6;0;String
T_MCO__C;HOS_PLO;$;1;0;String
T_MCO__C;PMS_RET;$;1;0;String
T_MCO__C;EXE_SOI_AMD;$;6;0;String
T_MCO__C;SEJ_MER_RET;$;1;0;String
T_MCO__C;EXE_SOI_DTD;DATETIME;20;0;Date
