MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
HAD_A;ACT_COD;;2;0;Integer
HAD_A;CCAM_COD;$;9;0;String
HAD_A;DEL_DEB_SSEQ;;4;0;Integer
HAD_A;ETA_NUM_EPMSI;$;10;0;String
HAD_A;ETA_NUM_TWO;$;10;0;String
HAD_A;ETA_NUM_GEO;$;10;0;String
HAD_A;EXT_DOC;$;2;0;String
HAD_A;EXT_PMSI;$;2;0;String
HAD_A;PHA_COD;;3;0;Integer
HAD_A;REAL_NBR;;2;0;Integer
HAD_A;RHAD_NUM;$;9;0;String
HAD_A;SEQ_NUM;;2;0;Integer
HAD_A;SSEQ_NUM;;2;0;Integer
HAD_A;VAL_DAT_SSEQ;;2;0;Integer
HAD_B;AGE_ANN;;3;2;Double
HAD_B;AGE_JOU;;3;2;Double
HAD_B;AVQ_ALI;;3;2;Double
HAD_B;AVQ_CON;;3;2;Double
HAD_B;AVQ_CPT;;3;2;Double
HAD_B;AVQ_HAB;;3;2;Double
HAD_B;AVQ_LOC;;3;2;Double
HAD_B;AVQ_REL;;3;2;Double
HAD_B;BDI_COD;;6;0;Integer
HAD_B;BDI_DEP;;2;0;Integer
HAD_B;COD_CONF;$;2;0;String
HAD_B;COD_SEX;;2;0;Integer
HAD_B;DEP_COT;;3;2;Double
HAD_B;DGN_PAL;$;9;0;String
HAD_B;ENT_MOD;$;6;0;String
HAD_B;ENT_PRV;$;6;0;String
HAD_B;ETA_NUM_EHPA;$;10;0;String
HAD_B;ETA_NUM_EPMSI;$;10;0;String
HAD_B;ETA_NUM_TWO;$;10;0;String
HAD_B;ETA_NUM_ESMS;$;2;0;String
HAD_B;ETA_NUM_GEO;$;2;0;String
HAD_B;FAC_NUM;;3;0;Integer
HAD_B;FIN_ANN_SEQ;;4;0;Integer
HAD_B;FIN_MOI_SEQ;;3;0;Integer
HAD_B;MOT_NFACT_AM;$;2;0;String
HAD_B;NBR_ACT;;4;0;Integer
HAD_B;NBR_DGN;;3;0;Integer
HAD_B;NBR_DGN_MPA;;2;2;Double
HAD_B;NBR_DGN_MPP;;2;2;Double
HAD_B;PAT_TYP_DOM;;3;0;Integer
HAD_B;PEC_ASS;;3;0;Integer
HAD_B;PEC_MOD_ASSO1;;3;0;Integer
HAD_B;PEC_MOD_ASSO2;;3;0;Integer
HAD_B;PEC_MOD_ASSO3;;3;0;Integer
HAD_B;PEC_MOD_ASSO4;;3;0;Integer
HAD_B;PEC_MOD_ASSO5;;3;0;Integer
HAD_B;PEC_PAL;;3;0;Integer
HAD_B;RAPSS_NUM;$;2;0;String
HAD_B;RHAD_NUM;$;9;0;String
HAD_B;SEJ_FACT_AM;;2;0;Integer
HAD_B;SEJ_NBJ;;6;0;Integer
HAD_B;SEQ_DER;;3;0;Integer
HAD_B;SEQ_NBJ;;4;0;Integer
HAD_B;SEQ_NUM;;3;0;Integer
HAD_B;SEQ_SEJ_NBJ;;4;0;Integer
HAD_B;SOR_ANN;;4;0;Integer
HAD_B;SOR_ANN_SSEQ;;4;0;Integer
HAD_B;SOR_DES;$;4;0;String
HAD_B;SOR_MOD;$;4;0;String
HAD_B;SOR_MOI;;3;0;Integer
HAD_B;SOR_MOI_SSEQ;;3;0;Integer
HAD_B;SSEQ_NBJ;;4;0;Integer
HAD_B;SSEQ_NUM;;3;0;Integer
HAD_B;SSEQ_SEJ_DER;;3;0;Integer
HAD_B;SSEQ_SEQ_DER;;3;0;Integer
HAD_B;SSEQ_SEQ_NBJ;;4;0;Integer
HAD_C;NUM_ENQ;$;19;0;String
HAD_C;COH_NAI_RET;$;2;0;String
HAD_C;COH_SEX_RET;$;2;0;String
HAD_C;DAT_RET;$;2;0;String
HAD_C;ENT_AM;;6;0;Integer
HAD_C;ENT_ANN;$;2;0;String
HAD_C;ENT_DAT;$;8;0;String
HAD_C;ENT_MOI;$;2;0;String
HAD_C;ETA_NUM_EPMSI;$;10;0;String
HAD_C;ETA_NUM_TWO;$;10;0;String
HAD_C;ETA_NUM_GEO;$;2;0;String
HAD_C;ETA_NUM_RET;$;2;0;String
HAD_C;EXE_SOI_AMD;;6;0;Integer
HAD_C;EXE_SOI_AMF;;6;0;Integer
HAD_C;EXE_SOI_DTD;DATETIME;20;0;Date
HAD_C;EXE_SOI_DTF;DATETIME;20;0;Date
HAD_C;FHO_RET;$;2;0;String
HAD_C;NAI_RET;$;2;0;String
HAD_C;NIR_ANO_17;$;2;0;String
HAD_C;NIR_RET;$;2;0;String
HAD_C;NUM_DAT_AT;$;2;0;String
HAD_C;NUM_DAT_AT_RET;$;2;0;String
HAD_C;ORG_CPL_NUM;$;2;0;String
HAD_C;ORG_CPL_NUM_RET;$;2;0;String
HAD_C;PMS_RET;$;2;0;String
HAD_C;RHAD_NUM;$;9;0;String
HAD_C;RNG_BEN;$;2;0;String
HAD_C;RNG_BEN_RET;$;2;0;String
HAD_C;RNG_NAI;$;2;0;String
HAD_C;RNG_NAI_RET;$;2;0;String
HAD_C;SEJ_LUN_ANN;;4;0;Integer
HAD_C;SEJ_LUN_MOI;;2;0;Integer
HAD_C;SEJ_NUM;;9;0;Integer
HAD_C;SEJ_RET;$;2;0;String
HAD_C;SEX_RET;$;2;0;String
HAD_C;SOR_DAT;;9;0;Integer
HAD_C;SOR_AM;;6;0;Integer
HAD_C;SOR_MOI;;2;0;Integer
HAD_C;SOR_ANN;;6;0;Integer
HAD_C;FORMAT;$;2;0;String
HAD_C;VID_HOSP_FOR;$;2;0;String
HAD_D;DGN_ASS;$;9;0;String
HAD_D;ETA_NUM_EPMSI;$;10;0;String
HAD_D;ETA_NUM_TWO;$;10;0;String
HAD_D;ETA_NUM_GEO;$;2;0;String
HAD_D;RHAD_NUM;$;9;0;String
HAD_D;SEQ_NUM;;4;0;Integer
HAD_D;SSEQ_NUM;;4;0;Integer
HAD_E;ANN_TRT;$;9;0;String
HAD_E;ETA_NUM;$;10;0;String
HAD_E;ETB_EXE_FIN;$;10;0;String
HAD_E;REG_ETA;$;30;0;String
HAD_E;SOC_RAI;$;30;0;String
HAD_E;STA_ETA;$;10;0;String
HAD_E;VAL_ETA;$;30;0;String
HAD_FH;ACH_PRI;;3;2;Double
HAD_FH;COD_LES;$;10;0;String
HAD_FH;COD_UCD;$;10;0;String
HAD_FH;COE_TAU;;3;2;Double
HAD_FH;DEL_DAT_ENT;;4;0;Integer
HAD_FH;ENT_ANN;$;10;0;String
HAD_FH;ENT_MOI;$;10;0;String
HAD_FH;ETA_NUM_EPMSI;$;10;0;String
HAD_FH;ETA_NUM_TWO;$;10;0;String
HAD_FH;ETA_NUM_GEO;$;10;0;String
HAD_FH;FAC_NUM;$;10;0;String
HAD_FH;FAC_TOT;;3;2;Double
HAD_FH;MNT_UNI_ECA;;3;2;Double
HAD_FH;QUA_COD;;4;0;Integer
