MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
MCO_C;NUM_ENQ;$;15;0;String
MCO_A;RSA_NUM;$;10;0;String
MCO_A;ETA_NUM;$;9;0;String
MCO_A;CMP_DAT;$;1;0;String
MCO_A;PHA_ACT;$;1;0;String
MCO_A;MOD_ACT;$;4;0;String
MCO_A;RUM_SEQ;$;2;0;String
MCO_A;REM_EXP_ACT;$;1;0;String
MCO_A;ENT_DAT_DEL;;6;0;Integer
MCO_A;ANP_ACT;$;1;0;String
MCO_A;CDC_ACT;$;7;0;String
MCO_A;ACV_ACT;$;1;0;String
MCO_A;RSS_NUM;$;3;0;String
MCO_A;NBR_EXE_ACT;;3;0;Integer
MCO_A;DOC_ACT;$;1;0;String
MCO_B;NBR_RUM;;3;0;Integer
MCO_B;COD_SEX;$;1;0;String
MCO_B;DLY_ACT;$;4;0;String
MCO_B;RSS_NUM;$;3;0;String
MCO_B;SEJ_TYP;$;1;0;String
MCO_B;SUP_ENT_DPA;;4;0;Integer
MCO_B;AGE_ANN;;4;0;Integer
MCO_B;SOR_DES;$;1;0;String
MCO_B;SEQ_RUM;$;2;0;String
MCO_B;ENT_MOD;$;1;0;String
MCO_B;RSA_NUM;$;10;0;String
MCO_B;GHS_9611_ACT;;4;0;Integer
MCO_B;GHS_9511_ACT;;4;0;Integer
MCO_B;GHM_24705Z_ACT;;4;0;Integer
MCO_B;GRC_GHM;$;6;0;String
MCO_B;ANT_SUP_NBR;;4;0;Integer
MCO_B;PAS_LIT_DED;$;1;0;String
MCO_B;TAR_SEQ_NUM;$;3;0;String
MCO_B;AUT_PGV_NBR;;2;0;Integer
MCO_B;GHS_6523_ACT;;4;0;Integer
MCO_B;SEJ_COD_CONF;$;1;0;String
MCO_B;GHS_9622_ACT;;4;0;Integer
MCO_B;NBR_SEA;;3;0;Integer
MCO_B;GHS_9619_ACT;;4;0;Integer
MCO_B;COD_IGS;$;3;0;String
MCO_B;DGN_PAL;$;6;0;String
MCO_B;GHS_9610_ACT;;4;0;Integer
MCO_B;DEL_REG_ENT;;4;0;Integer
MCO_B;DOS_TYP;$;1;0;String
MCO_B;SOR_MOD;$;1;0;String
MCO_B;SEJ_NBJ;;5;0;Integer
MCO_B;FAIS_NBR;;2;0;Integer
MCO_B;BDI_DEP;$;2;0;String
MCO_B;ENT_PRV;$;1;0;String
MCO_B;SUP_HEM_HS;;4;0;Integer
MCO_B;GHS_9612_ACT;;4;0;Integer
MCO_B;GRG_GHM;$;6;0;String
MCO_B;BDI_COD;$;5;0;String
MCO_B;BEH_NBJ;;5;0;Integer
MCO_B;NBR_SUP_REA;;4;0;Integer
MCO_B;NBR_SUP_SOI;;4;0;Integer
MCO_B;NBR_SUP_NN3;;4;0;Integer
MCO_B;POI_NAI;;5;0;Integer
MCO_B;GHM_24707Z_ACT;;4;0;Integer
MCO_B;AGE_GES;;3;0;Integer
MCO_B;NBR_SUP_NN2;;4;0;Integer
MCO_B;SUP_ENT_DPC;;4;0;Integer
MCO_B;NBR_SUP_SRA;;4;0;Integer
MCO_B;NBR_DGN;;5;0;Integer
MCO_B;MACH_TYP_RAD;$;1;0;String
MCO_B;NBR_SUP_SRC;;4;0;Integer
MCO_B;ETE_GHS_NUM;;5;0;Integer
MCO_B;GHS_9621_ACT;;4;0;Integer
MCO_B;TOP_VLV_AOR;$;1;0;String
MCO_B;INNOV_NUM;$;15;0;String
MCO_B;RTH_SUP_NBR;;2;0;Integer
MCO_B;GRC_VER;$;2;0;String
MCO_B;GHS_NUM;$;4;0;String
MCO_B;SOR_MOI;$;2;0;String
MCO_B;NBR_SUP_NN1;;4;0;Integer
MCO_B;CAI_SUP_NBR;;4;0;Integer
MCO_B;SOR_ANN;$;4;0;String
MCO_B;GHS_9620_ACT;;4;0;Integer
MCO_B;GHS_9515_ACT;;4;0;Integer
MCO_B;GHS_9510_ACT;;4;0;Integer
MCO_B;NBR_SUP_SSC;;4;0;Integer
MCO_B;SUP_RAD_PED;;4;0;Integer
MCO_B;GHS_9524_ACT;;4;0;Integer
MCO_B;EXB_NBJ;;4;0;Integer
MCO_B;GHM_24706Z_ACT;;4;0;Integer
MCO_B;GHS_9512_ACT;;4;0;Integer
MCO_B;NBR_SUP_REP;;4;0;Integer
MCO_B;GRC_RET;$;3;0;String
MCO_B;GHS_9615_ACT;;4;0;Integer
MCO_B;GRG_RET;$;3;0;String
MCO_B;SUP_ENT_HEM;;4;0;Integer
MCO_B;UHCD_TOP;$;1;0;String
MCO_B;NBR_ACT;;6;0;Integer
MCO_B;NBR_SUP_STF;;4;0;Integer
MCO_B;ETA_NUM;$;9;0;String
MCO_B;BEB_SEJ;$;1;0;String
MCO_B;AGE_JOU;;4;0;Integer
MCO_B;NBR_SEA_SROS;;3;0;Integer
MCO_B;GRG_VER;$;2;0;String
MCO_B;PLO_ACT;$;1;0;String
MCO_B;DGN_REL;$;6;0;String
MCO_C;ETA_NUM;$;9;0;String
MCO_C;DAT_RET;$;1;0;String
MCO_C;COH_NAI_RET;$;1;0;String
MCO_C;NIR_ANO_MAM;$;32;0;String
MCO_C;SEJ_RET;$;1;0;String
MCO_C;HOS_ORG_RET;$;1;0;String
MCO_C;FHO_RET;$;1;0;String
MCO_C;EXE_SOI_DTF;DATETIME;20;0;Date
MCO_C;SOR_MOI;$;2;0;String
MCO_C;SOR_AM;$;6;0;String
MCO_C;HOS_PLO;$;1;0;String
MCO_C;PMS_RET;$;1;0;String
MCO_C;EXE_SOI_AMD;$;6;0;String
MCO_C;SEJ_MER_RET;$;1;0;String
MCO_C;EXE_SOI_DTD;DATETIME;20;0;Date
MCO_C;SOR_ANN;$;4;0;String
MCO_C;RSA_NUM;$;10;0;String
MCO_C;ENT_DAT;$;8;0;String
MCO_C;HOS_NN_MAM;$;1;0;String
MCO_C;SEJ_NUM;$;5;0;String
MCO_C;NIR_RET;$;1;0;String
MCO_C;FOR_NUM;$;3;0;String
MCO_C;NIR_ANO_17;$;17;0;String
MCO_C;NAI_RET;$;1;0;String
MCO_C;COH_SEX_RET;$;1;0;String
MCO_C;SOR_DAT;$;8;0;String
MCO_C;HOS_NNE_RET;$;1;0;String
MCO_C;VID_HOSP_FOR;$;3;0;String
MCO_C;EXE_SOI_AMF;$;6;0;String
MCO_C;ENT_AM;$;6;0;String
MCO_C;SEX_RET;$;1;0;String
MCO_D;RSS_NUM;$;3;0;String
MCO_D;DGN_ASS_NUM;;5;0;Integer
MCO_D;ETA_NUM;$;9;0;String
MCO_D;RSA_NUM;$;10;0;String
MCO_D;ASS_DGN;$;6;0;String
MCO_UM;RSA_NUM;$;10;0;String
MCO_UM;SUP_TYP1_NBR;;5;0;Integer
MCO_UM;PAR_NBR_SEJ;;4;0;Integer
MCO_UM;AUT_TYP1_UM;$;4;0;String
MCO_UM;IND_SRC;$;1;0;String
MCO_UM;ETA_NUM_GEO1;$;9;0;String
MCO_UM;ETA_NUM_GEO2;$;9;0;String
