MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
RIP_C;SOR_AM;;8;0;Integer
RIP_C;SOR_ANN;;4;0;Integer
RIP_C;SOR_MOI;;8;0;Integer
RIP_C;NUM_ENQ;$;15;0;String
RIP_C;COH_NAI_RET;;2;0;Integer
RIP_C;COH_SEX_RET;;2;0;Integer
RIP_C;DAT_RET;;2;0;Integer
RIP_C;ENT_ANN;;4;0;Integer
RIP_C;ENT_AM;;8;0;Integer
RIP_C;ENT_DAT;$;10;0;String
RIP_C;ENT_MOI;;2;0;Integer
RIP_C;ETA_NUM_EPMSI;$;10;0;String
RIP_C;ETA_NUM_RET;$;10;0;String
RIP_C;ETA_NUM_TWO;$;10;0;String
RIP_C;EXE_SOI_AMD;;6;0;Integer
RIP_C;EXE_SOI_AMF;;6;0;Integer
RIP_C;EXE_SOI_AMF;;6;0;Integer
RIP_C;EXE_SOI_DTD;DATETIME;20;0;Date
RIP_C;EXE_SOI_DTF;DATETIME;20;0;Date
RIP_C;FHO_RET;$;2;0;String
RIP_C;FOR_NUM;;6;0;Integer
RIP_C;FOR_NUM_HOSP;;6;0;Integer
RIP_C;NAI_RET;;2;0;Integer
RIP_C;NIR_ANO_17;$;20;0;String
RIP_C;NIR_RET;$;15;0;String
RIP_C;NUM_DAT_AT;$;15;0;String
RIP_C;NUM_DAT_AT_RET;$;15;0;String
RIP_C;ORG_CPL_NUM;$;15;0;String
RIP_C;ORG_CPL_NUM_RET;$;15;0;String
RIP_C;PMS_RET;$;15;0;String
RIP_C;RIP_NUM;$;10;0;String
RIP_C;SEJ_NUM;$;10;0;String
RIP_C;SEJ_RET;$;15;0;String
RIP_C;SEX_RET;$;15;0;String
RIP_C;SOR_DAT;$;10;0;String
RIP_E;ANN_TRT;$;10;0;String
RIP_E;ETA_NUM;$;10;0;String
RIP_E;ETB_EXE_FIN;$;10;0;String
RIP_E;REG_ETA;$;30;0;String
RIP_E;SOC_RAI;$;30;0;String
RIP_E;STA_ETA;$;10;0;String
RIP_E;VAL_ETA;$;30;0;String
RIP_FH;ACH_PRI;;6;2;Double
RIP_FH;COD_UCD;$;13;0;String
RIP_FH;COE_TAU;;4;2;Double
RIP_FH;DEL_DAT_ENT;;6;0;Integer
RIP_FH;ENT_ANN;;6;0;Integer
RIP_FH;ENT_MOI;;6;0;Integer
RIP_FH;ETA_NUM_EPMSI;$;10;0;String
RIP_FH;ETA_NUM_TWO;$;10;0;String
RIP_FH;FAC_NUM;;6;0;Integer
RIP_FH;FAC_TOT;;4;2;Double
RIP_FH;MNT_UNI_ECA;;4;2;Double
RIP_FH;QUA_COD;;6;0;Integer
RIP_FH;RIP_NUM;$;10;0;String
RIP_FH;TOT_MNT_ECA;;4;2;Double
RIP_FH;TYP_ART;$;2;0;String
RIP_FH;UCD_UCD_COD;$;13;0;String
RIP_RSA;AGE_ANN;;4;0;Integer
RIP_RSA;AGE_JOU;;6;0;Integer
RIP_RSA;ANO_IND;$;3;0;String
RIP_RSA;BDI_COD;;6;0;Integer
RIP_RSA;BDI_DEP;;6;0;Integer
RIP_RSA;COD_SEX;;2;0;Integer
RIP_RSA;DEL_DAT;;4;0;Integer
RIP_RSA;DGN_PAL;$;10;0;String
RIP_RSA;ENT_MOD;$;3;0;String
RIP_RSA;ENT_PRV;$;3;0;String
RIP_RSA;NAT_PEC;;4;0;Integer
RIP_RSA;ETA_NUM_EPMSI;$;10;0;String
RIP_RSA;ETA_NUM_TWO;$;10;0;String
RIP_RSA;ETB_SAN_AUTOR;$;10;0;String
RIP_RSA;FOR_ACT;$;4;0;String
RIP_RSA;FOR_NUM;$;6;0;String
RIP_RSA;FOR_NUM_ORI;$;6;0;String
RIP_RSA;IPP_IRR_CRY;$;20;0;String
RIP_RSA;MOD_SOI;$;2;0;String
RIP_RSA;NBR_CCAM;;4;0;Integer
RIP_RSA;NBR_DGN;;4;0;Integer
RIP_RSA;PRE_DEM_JOU_NBJ;;4;0;Integer
RIP_RSA;PRE_JOU_NBJ;;4;0;Integer
RIP_RSA;RIP_NUM;$;10;0;String
RIP_RSA;SCO_DEP_ALI;;4;0;Integer
RIP_RSA;SCO_DEP_COM;;4;0;Integer
RIP_RSA;SCO_DEP_CON;;4;0;Integer
RIP_RSA;SCO_DEP_CPT;;4;0;Integer
RIP_RSA;SCO_DEP_DPL;;4;0;Integer
RIP_RSA;SCO_DEP_HAB;;4;0;Integer
RIP_RSA;SCO_DEP_REL;;4;0;Integer
