MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
ER_PRS_F;NUM_ENQ;$;4;0;String
ER_PRS_F;PRS_PPF_COD;$;1;0;String
ER_PRS_F;BEN_NIR_PSA;$;17;0;String
ER_PRS_F;PRS_NAT_REF;;5;0;Integer
ER_PRS_F;PRE_PRE_DTD;DATETIME;20;0;Date
ER_PRS_F;PRE_PRE_AMD;$;6;0;String
ER_PRS_F;CPL_PRS_NAT;;5;0;Integer
ER_PRS_F;PRS_ACT_CFT;;9;2;Double
ER_PRS_F;CPL_FJH_TYP;;2;0;Integer
ER_PRS_F;BEN_DRT_SPF;$;3;0;String
ER_PRS_F;BEN_CTA_TYP;;4;0;Integer
ER_PRS_F;PSP_CNV_COD;;2;0;Integer
ER_PRS_F;PRS_PDS_QCP;;3;0;Integer
ER_PRS_F;REM_TYP_AFF;;0;0;Integer
ER_PRS_F;RGO_ENV_TYP;;3;0;Integer
ER_PRS_F;ACC_TIE_IND;;2;0;Integer
ER_PRS_F;CPL_MAJ_TOP;;2;0;Integer
ER_PRS_F;RGO_THE_TAU;;7;2;Double
ER_PRS_F;EXE_LIE_COD;;2;0;Integer
ER_PRS_F;CPL_REM_BSE;;11;2;Double
ER_PRS_F;BSE_PRS_NAT;;5;0;Integer
ER_PRS_F;PRS_ETA_RAC;;11;2;Double
ER_PRS_F;BSE_REM_PRU;;14;5;Double
ER_PRS_F;BEN_RES_DPT;$;3;0;String
ER_PRS_F;BEN_CDI_NIR;$;2;0;String
ER_PRS_F;BEN_NAI_ANN;$;4;0;String
ER_PRS_F;CPL_REM_TAU;;7;2;Double
ER_PRS_F;CPL_REM_SGN;;2;0;Integer
ER_PRS_F;BSE_REM_SGN;;2;0;Integer
ER_PRS_F;PSE_STJ_COD;;3;0;Integer
ER_PRS_F;PRE_REN_COD;$;1;0;String
ER_PRS_F;ORG_AFF_BEN;$;9;0;String
ER_PRS_F;PSE_SPE_COD;;3;0;Integer
ER_PRS_F;BSE_FJH_TYP;;2;0;Integer
ER_PRS_F;PRS_ACT_COG;;11;2;Double
ER_PRS_F;EXO_MTF;;3;0;Integer
ER_PRS_F;EXE_SOI_AMD;$;6;0;String
ER_PRS_F;PRS_DRA_AME;$;6;0;String
ER_PRS_F;PRS_GRS_DTD;DATETIME;20;0;Date
ER_PRS_F;PSP_SVI_PPS;;3;0;Integer
ER_PRS_F;RGO_FTA_COD;;2;0;Integer
ER_PRS_F;BEN_CMU_ORG;$;9;0;String
ER_PRS_F;BEN_CMU_CAT;$;1;0;String
ER_PRS_F;FLX_EMT_TYP;;3;0;Integer
ER_PRS_F;BSE_REM_MNT;;11;2;Double
ER_PRS_F;CPL_FTA_COD;;2;0;Integer
ER_PRS_F;EXE_SOI_DTF;DATETIME;20;0;Date
ER_PRS_F;BEN_DCD_AME;$;6;0;String
ER_PRS_F;MTM_NAT;;2;0;Integer
ER_PRS_F;RGO_ASU_NAT;;3;0;Integer
ER_PRS_F;BEN_CMU_TOP;$;1;0;String
ER_PRS_F;ORB_BSE_NUM;$;6;0;String
ER_PRS_F;PRS_ORD_NUM;;5;0;Integer
ER_PRS_F;PRS_ACT_QTE;;4;0;Integer
ER_PRS_F;RGO_REM_TAU;;7;2;Double
ER_PRS_F;PRS_PDS_QTP;;3;0;Integer
ER_PRS_F;RGM_COD;;4;0;Integer
ER_PRS_F;PRS_TYP_MAJ;$;2;0;String
ER_PRS_F;BEN_ACS_TOP;$;1;0;String
ER_PRS_F;BEN_SEX_COD;;2;0;Integer
ER_PRS_F;PRS_PAI_MNT;;11;2;Double
ER_PRS_F;BSE_REM_BSE;;11;2;Double
ER_PRS_F;IJR_RVL_NAT;$;2;0;String
ER_PRS_F;PSP_REF_ADH;$;1;0;String
ER_PRS_F;EXE_SOI_DTD;DATETIME;20;0;Date
ER_PRS_F;ORG_CLE_NUM;$;9;0;String
ER_PRS_F;CPL_REM_PRU;;14;5;Double
ER_PRS_F;PRS_TOP_ENP;;2;0;Integer
ER_PRS_F;PSE_ACT_NAT;;3;0;Integer
ER_PRS_F;DRG_NAT;;3;0;Integer
ER_PRS_F;FLX_DIS_DTD;DATETIME;20;0;Date
ER_PRS_F;PRS_DPN_QLP;;3;0;Integer
ER_PRS_F;PSP_ACT_NAT;;3;0;Integer
ER_PRS_F;BEN_EHP_TOP;$;1;0;String
ER_PRS_F;EXE_SOI_AMF;$;6;0;String
ER_PRS_F;BEN_AMA_COD;;5;0;Integer
ER_PRS_F;CPL_REM_MNT;;11;2;Double
ER_PRS_F;BEN_DCD_DTE;DATETIME;20;0;Date
ER_PRS_F;PRS_DEP_MNT;;11;2;Double
ER_PRS_F;PSE_REF_ADH;$;1;0;String
ER_PRS_F;PRS_HOS_DTD;DATETIME;20;0;Date
ER_PRS_F;PFS_EXE_NUM;$;8;0;String
ER_PRS_F;FLX_EMT_NUM;;4;0;Integer
ER_PRS_F;PSE_CNV_COD;;2;0;Integer
ER_PRS_F;DCT_ORD_NUM;;9;0;Integer
