MEMNAME;NAME;FORMAT;FORMATL;DATATYPE
ER_ARO_F;ARO_ASU_NAT;;8.0;Double
ER_ARO_F;ARO_CPL_COD;;7.0;Double
ER_ARO_F;ARO_ENV_TYP;;8.0;Double
ER_ARO_F;ARO_FJH_TYP;;7.0;Double
ER_ARO_F;ARO_FTA_COD;;7.0;Double
ER_ARO_F;ARO_MIN_TAU;;12.0;Double
ER_ARO_F;ARO_MOD_MNT;;16.0;Double
ER_ARO_F;ARO_ORD_NUM;;8.0;Double
ER_ARO_F;ARO_PRS_NAT;;10.0;Double
ER_ARO_F;ARO_REM_BSE;;16.0;Double
ER_ARO_F;ARO_REM_MNT;;16.0;Double
ER_ARO_F;ARO_REM_PRU;;19.0;Double
ER_ARO_F;ARO_REM_SGN;;7.0;Double
ER_ARO_F;ARO_REM_TAU;;12.0;Double
ER_ARO_F;ARO_REM_TYP;;8.0;Double
ER_ARO_F;ARO_THE_TAU;;12.0;Double
ER_ARO_F;DCT_ORD_NUM;;14.0;Double
ER_ARO_F;FLX_DIS_DTD;DATETIME;25.0;Date
ER_ARO_F;FLX_EMT_NUM;;9.0;Double
ER_ARO_F;FLX_EMT_ORD;;9.0;Double
ER_ARO_F;FLX_EMT_TYP;;8.0;Double
ER_ARO_F;FLX_TRT_DTD;DATETIME;25.0;Date
ER_ARO_F;ORG_CLE_NEW;$;14.0;String
ER_ARO_F;ORG_CLE_NUM;$;14.0;String
ER_ARO_F;PRS_ORD_NUM;;10.0;Double
ER_ARO_F;REM_TYP_AFF;;6.0;Double
ER_BIO_F;BIO_ACT_QSN;;9.0;Double
ER_BIO_F;BIO_ORD_NUM;;9.0;Double
ER_BIO_F;BIO_PRS_IDE;;10.0;Double
ER_BIO_F;DCT_ORD_NUM;;14.0;Double
ER_BIO_F;FLX_DIS_DTD;DATETIME;25.0;Date
ER_BIO_F;FLX_EMT_NUM;;9.0;Double
ER_BIO_F;FLX_EMT_ORD;;9.0;Double
ER_BIO_F;FLX_EMT_TYP;;8.0;Double
ER_BIO_F;FLX_TRT_DTD;DATETIME;25.0;Date
ER_BIO_F;ORG_CLE_NEW;$;14.0;String
ER_BIO_F;ORG_CLE_NUM;$;14.0;String
ER_BIO_F;PRS_ORD_NUM;;10.0;Double
ER_BIO_F;REM_TYP_AFF;;6.0;Double
ER_CAM_F;CAM_ACT_COD;$;6.0;String
ER_CAM_F;CAM_ACT_PRU;;16.0;Double
ER_CAM_F;CAM_ASS_COD;$;6.0;String
ER_CAM_F;CAM_CAB_IND;$;6.0;String
ER_CAM_F;CAM_DOC_EXT;$;6.0;String
ER_CAM_F;CAM_GRI_TAR;$;8.0;String
ER_CAM_F;CAM_MI1_MNT;;16.0;Double
ER_CAM_F;CAM_MI2_MNT;;16.0;Double
ER_CAM_F;CAM_MI3_MNT;;16.0;Double
ER_CAM_F;CAM_MI4_MNT;;16.0;Double
ER_CAM_F;CAM_MM1_MNT;;16.0;Double
ER_CAM_F;CAM_MM2_MNT;;16.0;Double
ER_CAM_F;CAM_MM3_MNT;;16.0;Double
ER_CAM_F;CAM_MM4_MNT;;16.0;Double
ER_CAM_F;CAM_MOD_COD;$;9.0;String
