MEMNAME;NAME;FORMAT;FORMATL;DATATYPE
HAD_B;ETA_NUM_EPMSI;$;10.0;String
HAD_C;NUM_ENQ;$;8.0;String
HAD_C;ETA_NUM_EPMSI;$;10.0;String
HAD_A;ACT_COD;$;6.0;String
HAD_A;CCAM_COD;$;12.0;String
HAD_A;DEL_DAT_ENT;$;10.0;String
HAD_A;DEL_DEB_SSEQ;;13.0;Double
HAD_A;ETA_NUM_EPMSI;$;14.0;String
HAD_A;ETA_NUM_GEO;$;14.0;String
HAD_A;ETA_NUM_TWO;$;14.0;String
HAD_A;EXT_DOC;$;6.0;String
HAD_A;EXT_PMSI;$;7.0;String
HAD_A;FAC_NUM;$;10.0;String
HAD_A;PHA_COD;$;6.0;String
HAD_A;REAL_NBR;;13.0;Double
HAD_A;RHAD_NUM;$;10.0;String
HAD_A;SEQ_NUM;$;7.0;String
HAD_A;SSEQ_NUM;$;8.0;String
HAD_A;VAL_DAT_SSEQ;$;6.0;String
HAD_B;AGE_ANN;;8.0;Double
HAD_B;AGE_JOU;;8.0;Double
HAD_B;AVQ_ALI;$;6.0;String
HAD_B;AVQ_CON;$;6.0;String
HAD_B;AVQ_CPT;$;6.0;String
HAD_B;AVQ_HAB;$;6.0;String
HAD_B;AVQ_LOC;$;6.0;String
HAD_B;AVQ_REL;$;6.0;String
HAD_B;BDI_COD;$;10.0;String
HAD_B;BDI_DEP;$;7.0;String
HAD_B;COD_CONF;$;6.0;String
HAD_B;COD_POST;$;10.0;String
HAD_B;COD_SEX;$;6.0;String
HAD_B;DEP_COT;$;8.0;String
HAD_B;DGN_PAL;$;11.0;String
HAD_B;DGN_PAL1;$;11.0;String
HAD_B;DGN_PAL2;$;11.0;String
HAD_B;DGN_PAL3;$;11.0;String
HAD_B;DGN_PAL4;$;11.0;String
HAD_B;DGN_PAL5;$;11.0;String
HAD_B;DGN_PAL6;$;11.0;String
HAD_B;DGN_PAL7;$;11.0;String
HAD_B;ENT_MOD;$;6.0;String
HAD_B;ENT_PRV;$;6.0;String
HAD_B;ETA_GRP_GHPC;$;9.0;String
HAD_B;ETA_GRP_RET;$;8.0;String
HAD_B;ETA_GRP_VER;$;7.0;String
HAD_B;ETA_NUM_EHPA;$;14.0;String
HAD_B;ETA_NUM_EPMSI;$;14.0;String
HAD_B;ETA_NUM_ESMS;$;14.0;String
HAD_B;ETA_NUM_GEO;$;14.0;String
HAD_B;ETA_NUM_JUR;$;14.0;String
HAD_B;ETA_NUM_TWO;$;14.0;String
HAD_B;ETB_TAR_NBR;;7.0;Double
HAD_B;FAC_NUM;$;10.0;String
HAD_B;FIN_ANN_SEQ;$;9.0;String
HAD_B;FIN_MOI_SEQ;$;7.0;String
HAD_B;MOT_NFACT_AM;$;6.0;String
HAD_B;NBR_ACT;;8.0;Double
HAD_B;NBR_DGN;;7.0;Double
HAD_B;NBR_DGN_MPA;;6.0;Double
HAD_B;NBR_DGN_MPP;;6.0;Double
HAD_B;PAT_TYP_DOM;$;6.0;String
HAD_B;PEC_ASS;$;7.0;String
HAD_B;PEC_MOD_ASSO1;$;7.0;String
HAD_B;PEC_MOD_ASSO2;$;7.0;String
HAD_B;PEC_MOD_ASSO3;$;7.0;String
HAD_B;PEC_MOD_ASSO4;$;7.0;String
HAD_B;PEC_MOD_ASSO5;$;7.0;String
HAD_B;PEC_PAL;$;7.0;String
HAD_B;POST_DEP;$;7.0;String
HAD_B;RAPSS_NUM;$;8.0;String
HAD_B;RHAD_NUM;$;10.0;String
HAD_B;RPSS_VER;$;8.0;String
HAD_B;SEJ_FACT_AM;$;6.0;String
HAD_B;SEJ_NAT;$;7.0;String
HAD_B;SEJ_NBJ;;8.0;Double
HAD_B;SEQ_DER;$;6.0;String
HAD_B;SEQ_NBJ;;8.0;Double
HAD_B;SEQ_NUM;$;7.0;String
HAD_B;SEQ_SEJ;$;9.0;String
HAD_B;SEQ_SEJ_NBJ;;8.0;Double
HAD_B;SOR_ANN;$;9.0;String
HAD_B;SOR_ANN_SSEQ;$;9.0;String
HAD_B;SOR_DES;$;6.0;String
HAD_B;SOR_MOD;$;6.0;String
HAD_B;SOR_MOI;$;7.0;String
HAD_B;SOR_MOI_SSEQ;$;7.0;String
HAD_B;SSEQ_NBJ;;8.0;Double
HAD_B;SSEQ_NUM;$;8.0;String
HAD_B;SSEQ_SEJ_DER;$;6.0;String
HAD_B;SSEQ_SEQ_DER;$;6.0;String
HAD_B;SSEQ_SEQ_NBJ;;8.0;Double
HAD_C;COH_NAI_RET;$;6.0;String
HAD_C;COH_SEX_RET;$;6.0;String
HAD_C;DAT_RET;$;6.0;String
HAD_C;ENT_AM;$;11.0;String
HAD_C;ENT_ANN;$;9.0;String
HAD_C;ENT_DAT;$;13.0;String
HAD_C;ENT_MOI;$;7.0;String
