MEMNAME;NAME;FORMAT;FORMATL;DATATYPE
MCO_C;NUM_ENQ;$;8;String
MCO_CSTC;RNG_BEN_CTL;$;3;String
MCO_CSTC;RNG_NAI_CTL;$;3;String
MCO_FCSTC;IAS_RET;$;1;String
MCO_CSTC;NUM_ENQ;$;8;String
MCO_CSTC;ETA_NUM_GEO;$;9;String
MCO_FASTC;RNG_BEN_CTL;$;3;String
MCO_FASTC;RNG_NAI_CTL;$;3;String
MCO_A;ACT_ORD_NUM;;9.0;Double
MCO_A;ACV_ACT;$;6.0;String
MCO_A;ANP_ACT;$;6.0;String
MCO_A;CDC_ACT;$;12.0;String
MCO_A;CMP_DAT;$;6.0;String
MCO_A;DOC_ACT;$;6.0;String
MCO_A;ENT_DAT_DEL;$;8.0;String
MCO_A;ETA_NUM;$;14.0;String
MCO_A;EXT_PMSI;$;8.0;String
MCO_A;MOD_ACT;$;9.0;String
MCO_A;NBR_EXE_ACT;;7.0;Double
MCO_A;PHA_ACT;$;6.0;String
MCO_A;REM_EXP_ACT;$;6.0;String
MCO_A;RSA_NUM;$;15.0;String
MCO_A;RSS_NUM;$;8.0;String
MCO_A;RUM_SEQ;$;7.0;String
MCO_B;ADMIN_RH;$;6.0;String
MCO_B;AGE_ANN;;13.0;Double
MCO_B;AGE_GES;;13.0;Double
MCO_B;AGE_JOU;;13.0;Double
MCO_B;ANN_IVG_PREC;$;9.0;String
MCO_B;ANT_SUP_NBR;;13.0;Double
MCO_B;AUT_PGV_NBR;;13.0;Double
MCO_B;BDI_COD;$;10.0;String
MCO_B;BDI_DEP;$;7.0;String
MCO_B;BEB_SEJ;$;6.0;String
MCO_B;BEH_NBJ;;13.0;Double
MCO_B;CAI_SUP_NBR;;13.0;Double
MCO_B;CAT_NB_INTER;$;6.0;String
MCO_B;COD_IGS;$;8.0;String
MCO_B;COD_POST;$;10.0;String
MCO_B;COD_SEX;$;6.0;String
MCO_B;CONTEXTE_PAT;$;6.0;String
MCO_B;DEL_REG_ENT;;8.0;Double
MCO_B;DGN_PAL;$;11.0;String
MCO_B;DGN_REL;$;11.0;String
MCO_B;DLY_ACT;$;9.0;String
MCO_B;DOS_TYP;$;6.0;String
MCO_B;ENT_MOD;$;6.0;String
MCO_B;ENT_PRV;$;6.0;String
MCO_B;ETA_NUM;$;14.0;String
MCO_B;ETE_GHS_NUM;;9.0;Double
MCO_B;EXB_NBJ;;13.0;Double
MCO_B;FAIS_NBR;;6.0;Double
MCO_B;GHM_24705Z_ACT;;9.0;Double
MCO_B;GHM_24706Z_ACT;;9.0;Double
MCO_B;GHM_24707Z_ACT;;9.0;Double
MCO_B;GHS_6523_ACT;;9.0;Double
MCO_B;GHS_9510_ACT;;9.0;Double
MCO_B;GHS_9511_ACT;;9.0;Double
MCO_B;GHS_9512_ACT;;9.0;Double
MCO_B;GHS_9515_ACT;;9.0;Double
MCO_B;GHS_9524_ACT;;9.0;Double
MCO_B;GHS_9610_ACT;;9.0;Double
MCO_B;GHS_9611_ACT;;9.0;Double
MCO_B;GHS_9612_ACT;;9.0;Double
MCO_B;GHS_9615_ACT;;8.0;Double
