MEMNAME;NAME;FORMAT;FORMATL;DATATYPE
RIP_C;NUM_ENQ;$;8.0;String
RIP_C;COH_NAI_RET;$;6.0;String
RIP_C;COH_SEX_RET;$;6.0;String
RIP_C;DAT_RET;$;6.0;String
RIP_C;ENT_AM;$;11.0;String
RIP_C;ENT_ANN;$;9.0;String
RIP_C;ENT_DAT;$;13.0;String
RIP_C;ENT_MOI;$;7.0;String
RIP_C;ETA_NUM_EPMSI;$;14.0;String
RIP_C;ETA_NUM_RET;$;6.0;String
RIP_C;ETA_NUM_TWO;$;14.0;String
RIP_C;EXE_SOI_AMD;$;11.0;String
RIP_C;EXE_SOI_AMF;$;11.0;String
RIP_C;EXE_SOI_DTD;DATETIME;55.0;Date
RIP_C;EXE_SOI_DTF;DATETIME;55.0;Date
RIP_C;FHO_RET;$;6.0;String
RIP_C;FOR_NUM;$;8.0;String
RIP_C;FOR_NUM_HOSP;$;8.0;String
RIP_C;IPP_BEN_ANO;$;49.0;String
RIP_C;IPP_BEN_ANO_RET;$;6.0;String
RIP_C;IPP_IRR_CRY;$;21.0;String
RIP_C;NAI_RET;$;6.0;String
RIP_C;NIR_ANO_17;$;22.0;String
RIP_C;NIR_RET;$;6.0;String
RIP_C;NUM_DAT_AT;$;14.0;String
RIP_C;NUM_DAT_AT_RET;$;6.0;String
RIP_C;ORG_CPL_NUM;$;15.0;String
RIP_C;ORG_CPL_NUM_RET;$;6.0;String
RIP_C;PMS_RET;$;6.0;String
RIP_C;RIP_NUM;$;11.0;String
RIP_C;SEJ_NUM;$;10.0;String
RIP_C;SEJ_RET;$;6.0;String
RIP_C;SEX_RET;$;6.0;String
RIP_C;SOR_AM;$;11.0;String
RIP_C;SOR_ANN;$;9.0;String
RIP_C;SOR_DAT;$;13.0;String
RIP_C;SOR_MOI;$;7.0;String
RIP_CCAM;ACV_ACT;$;6.0;String
RIP_CCAM;CDC_ACT;$;12.0;String
RIP_CCAM;DOC_ACT;$;6.0;String
RIP_CCAM;ENT_DAT_DEL;;8.0;Double
RIP_CCAM;ETA_NUM_EPMSI;$;14.0;String
RIP_CCAM;ETA_NUM_TWO;$;14.0;String
RIP_CCAM;EXT_PMSI;$;7.0;String
RIP_CCAM;IPP_IRR_CRY;$;21.0;String
RIP_CCAM;NBR_EXE_ACT;;7.0;Double
RIP_CCAM;PHA_ACT;$;6.0;String
RIP_CCAM;RIP_NUM;$;11.0;String
RIP_CCAM;SEJ_IDT;$;10.0;String
RIP_CCAM;SEQ_SEQ_NUM;$;8.0;String
RIP_CSTC;COH_NAI_RET;$;6.0;String
RIP_CSTC;COH_SEX_RET;$;6.0;String
RIP_CSTC;ETA_NUM_EPMSI;$;14.0;String
RIP_CSTC;FOR_NUM;$;8.0;String
RIP_CSTC;FOR_NUM_ORI;$;8.0;String
RIP_CSTC;IPP_BEN_ANO;$;49.0;String
RIP_CSTC;IPP_BEN_ANO_RET;$;6.0;String
RIP_CSTC;IPP_IRR_CRY;$;21.0;String
RIP_CSTC;NAI_RET;$;6.0;String
RIP_CSTC;NIR_ANO_17;$;22.0;String
RIP_CSTC;NIR_RET;$;6.0;String
RIP_CSTC;RNG_BEN;$;8.0;String
RIP_CSTC;RNG_BEN_RET;$;6.0;String
RIP_CSTC;RNG_NAI;$;6.0;String
RIP_CSTC;RNG_NAI_RET;$;6.0;String
RIP_CSTC;SEX_RET;$;6.0;String
RIP_E;ANN_TRT;$;12.0;String
RIP_E;COM_ETA;$;55.0;String
RIP_E;ETA_NUM;$;14.0;String
RIP_E;ETB_EXE_FIN;$;13.0;String
RIP_E;REG_ETA;$;27.0;String
RIP_E;SOC_RAI;$;65.0;String
RIP_E;STA_ETA;$;8.0;String
RIP_E;VAL_ETA;$;25.0;String
RIP_FA;AGE_ANN;;8.0;Double
RIP_FA;AGE_JOU;;10.0;Double
RIP_FA;BDI_COD;$;10.0;String
RIP_FA;BDI_DEP;$;7.0;String
RIP_FA;BEN_CMU;$;6.0;String
RIP_FA;COD_CIV;$;6.0;String
RIP_FA;COD_PEC;$;6.0;String
RIP_FA;COD_POST;$;10.0;String
RIP_FA;COD_SEX;$;6.0;String
RIP_FA;CON_TYP;$;7.0;String
RIP_FA;ENT_ANN;$;9.0;String
RIP_FA;ENT_MOI;$;7.0;String
RIP_FA;ETA_NUM_EPMSI;$;14.0;String
RIP_FA;ETA_NUM_TWO;$;14.0;String
RIP_FA;EXE_SOI_AMD;$;11.0;String
RIP_FA;EXE_SOI_AMF;$;11.0;String
RIP_FA;EXE_SOI_DTD;DATETIME;13.0;Date
RIP_FA;EXE_SOI_DTF;DATETIME;13.0;Date
RIP_FA;EXO_TM;$;6.0;String
RIP_FA;FAC_ETL;$;6.0;String
RIP_FA;FAC_NUM;$;8.0;String
RIP_FA;HON_AM_MNR;;13.0;Double
RIP_FA;HON_MNT;;13.0;Double
RIP_FA;HON_OC_MNR;;13.0;Double
RIP_FA;NAT_ASS;$;7.0;String
RIP_FA;NOE_RGM;$;7.0;String
RIP_FA;NUM_DAT_AT;$;14.0;String
RIP_FA;OPE_NAT;$;6.0;String
RIP_FA;ORG_CPL_NUM;$;15.0;String
RIP_FA;PAS_OC_MNT;;13.0;Double
RIP_FA;PH_AMO_MNR;;13.0;Double
RIP_FA;PH_BRM;;13.0;Double
RIP_FA;PH_MNT;;13.0;Double
RIP_FA;PH_OC_MNR;;13.0;Double
RIP_FA;POST_DEP;$;55.0;String
RIP_FA;RIP_NUM;$;11.0;String
RIP_FA;RNG_BEN;$;8.0;String
RIP_FA;RNG_NAI;$;6.0;String
RIP_FA;SEJ_DUR;;9.0;Double
RIP_FA;SOR_ANN;$;9.0;String
RIP_FA;SOR_MOI;$;7.0;String
RIP_FA;TYP_ART;$;6.0;String
RIP_FB;ACT_COD;$;10.0;String
RIP_FB;ACT_COE;;10.0;Double
RIP_FB;ACT_NBR;;8.0;Double
RIP_FB;AMC_MNR;;12.0;Double
RIP_FB;AMO_MNR;;13.0;Double
RIP_FB;COD_PEC;$;6.0;String
RIP_FB;DEL_DAT_ENT;;10.0;Double
RIP_FB;ENT_ANN;$;9.0;String
RIP_FB;ENT_MOI;$;7.0;String
RIP_FB;ETA_NUM_EPMSI;$;14.0;String
RIP_FB;ETA_NUM_TWO;$;14.0;String
RIP_FB;ETE_GHS_NUM;;9.0;Double
RIP_FB;EXE_SOI_AMD;$;11.0;String
RIP_FB;EXE_SOI_AMF;$;11.0;String
RIP_FB;EXE_SOI_DTD;DATETIME;13.0;Date
RIP_FB;EXE_SOI_DTF;DATETIME;13.0;Date
RIP_FB;EXO_TM;$;6.0;String
RIP_FB;FAC_MNT;;13.0;Double
RIP_FB;FAC_NUM;$;8.0;String
RIP_FB;GHS_NUM;$;9.0;String
RIP_FB;NOE_MNR;;13.0;Double
RIP_FB;NOE_OPE;$;8.0;String
RIP_FB;PRI_UNI;;12.0;Double
RIP_FB;PSH_DMT;$;8.0;String
RIP_FB;PSH_MDT;$;7.0;String
