MEMNAME;NAME;FORMAT;FORMATL;DATATYPE
SSR_C;NUM_ENQ;$;8.0;String
SSR_B;NBR_DGM;NaN;2.0;Integer
SSR_CSTC;NUM_ENQ;$;15.0;String
SSR_B;ACT_TYP;$;6.0;String
SSR_B;AGE_ANN;;8.0;Double
SSR_B;AGE_JOU;;10.0;Double
SSR_B;ALI_DEP;$;6.0;String
SSR_B;ANC_CHI;;9.0;Double
SSR_B;ANN_SEM_RHS;;9.0;Double
SSR_B;APP_ADP;;10.0;Double
SSR_B;ASS_DGN_1;$;11.0;String
SSR_B;ASS_DGN_10;$;11.0;String
SSR_B;ASS_DGN_11;$;11.0;String
SSR_B;ASS_DGN_12;$;11.0;String
SSR_B;ASS_DGN_13;$;11.0;String
SSR_B;ASS_DGN_14;$;11.0;String
SSR_B;ASS_DGN_15;$;11.0;String
SSR_B;ASS_DGN_16;$;11.0;String
SSR_B;ASS_DGN_17;$;11.0;String
SSR_B;ASS_DGN_18;$;11.0;String
SSR_B;ASS_DGN_19;$;11.0;String
SSR_B;ASS_DGN_2;$;11.0;String
SSR_B;ASS_DGN_20;$;11.0;String
SSR_B;ASS_DGN_3;$;11.0;String
SSR_B;ASS_DGN_4;$;11.0;String
SSR_B;ASS_DGN_5;$;11.0;String
SSR_B;ASS_DGN_6;$;11.0;String
SSR_B;ASS_DGN_7;$;11.0;String
SSR_B;ASS_DGN_8;$;11.0;String
SSR_B;ASS_DGN_9;$;11.0;String
SSR_B;AUT_TYP_UM;$;8.0;String
SSR_B;BAL;;10.0;Double
SSR_B;BDI_COD;$;10.0;String
SSR_B;BDI_DEP;$;7.0;String
SSR_B;BIL;;10.0;Double
SSR_B;CAR_RSP_RED;;10.0;Double
SSR_B;COD_POST;$;10.0;String
SSR_B;COD_SEX;$;6.0;String
SSR_B;COL_RED;;10.0;Double
SSR_B;CON_DEP;$;6.0;String
SSR_B;CPT_DEP;$;6.0;String
SSR_B;DEB_FIN;$;6.0;String
SSR_B;DEB_SEM;$;6.0;String
SSR_B;DPL_DEP;$;6.0;String
SSR_B;ENT_MOD;$;6.0;String
SSR_B;ENT_PRV;$;6.0;String
SSR_B;ETA_NUM;$;14.0;String
SSR_B;ETA_NUM_GEO;$;14.0;String
SSR_B;ETL_AFF;$;11.0;String
SSR_B;EXB_NBJ;;8.0;Double
SSR_B;EXB_TOP;$;6.0;String
SSR_B;EXH_NBJ;;8.0;Double
SSR_B;FP_PEC;$;11.0;String
SSR_B;FR_UTL;$;6.0;String
SSR_B;GEN_VER;$;8.0;String
SSR_B;GMT_NUM;$;9.0;String
SSR_B;GRC_CMC;$;7.0;String
SSR_B;GRC_GHJ;$;8.0;String
SSR_B;GRC_GME;$;11.0;String
SSR_B;GRC_RET;$;7.0;String
SSR_B;GRC_TOP_ERR;$;6.0;String
SSR_B;GRC_VER;$;7.0;String
SSR_B;GRG_CMC;$;7.0;String
SSR_B;GRG_GHJ;$;8.0;String
SSR_B;GRG_GME;$;11.0;String
SSR_B;GRG_RET;$;7.0;String
SSR_B;GRG_TOP_ERR;$;6.0;String
SSR_B;GRG_VER;$;7.0;String
SSR_B;HAB_DEP;$;6.0;String
SSR_B;HOS_TYP_UM;$;6.0;String
