MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
MCO_FMSTC;ANP_ACT;$;1;0;String
MCO_FMSTC;ACV_ACT;$;1;0;String
MCO_FMSTC;CCAM_COD;$;13;0;String
MCO_FMSTC;DEL_DAT_ENT;;8;6;Double
MCO_FMSTC;DENT_NUM_1;$;2;0;String
MCO_FMSTC;DENT_NUM_2;$;2;0;String
MCO_FMSTC;DENT_NUM_3;$;2;0;String
MCO_FMSTC;DENT_NUM_4;$;2;0;String
MCO_FMSTC;DENT_NUM_5;$;2;0;String
MCO_FMSTC;DENT_NUM_6;$;2;0;String
MCO_FMSTC;DENT_NUM_7;$;2;0;String
MCO_FMSTC;DENT_NUM_8;$;2;0;String
MCO_FMSTC;DENT_NUM_9;$;2;0;String
MCO_FMSTC;DENT_NUM_10;$;2;0;String
MCO_FMSTC;DENT_NUM_11;$;2;0;String
MCO_FMSTC;DENT_NUM_12;$;2;0;String
MCO_FMSTC;DENT_NUM_13;$;2;0;String
MCO_FMSTC;DENT_NUM_14;$;2;0;String
MCO_FMSTC;DENT_NUM_15;$;2;0;String
MCO_FMSTC;DENT_NUM_16;$;2;0;String
MCO_FMSTC;DOC_ACT;$;1;0;String
MCO_FMSTC;ETA_NUM;$;9;0;String
MCO_FMSTC;MOD_ACT1;$;1;0;String
MCO_FMSTC;MOD_ACT2;$;1;0;String
MCO_FMSTC;MOD_ACT3;$;1;0;String
MCO_FMSTC;MOD_ACT4;$;1;0;String
MCO_FMSTC;NUM_FAC;$;3;0;String
MCO_FMSTC;PHA_ACT;$;1;0;String
MCO_FMSTC;PSH_DMT;$;3;0;String
MCO_FMSTC;PSH_MDT;$;2;0;String
MCO_FMSTC;REM_EXP_ACT;$;1;0;String
MCO_FMSTC;RSF_TYP;$;1;0;String
MCO_FMSTC;SEQ_NUM;$;8;0;String
MCO_FMSTC;SOR_ANN;$;4;0;String
MCO_FMSTC;SOR_MOI;$;2;0;String
MCO_FMSTC;TYP_ART;$;1;0;String
MCO_CSTC;ENT_DAT;$;8;0;String
MCO_CSTC;ENT_DAT_RET;$;1;0;String
MCO_CSTC;ETA_NUM;$;9;0;String
MCO_CSTC;EXE_SOI_AMD;$;6;0;String
MCO_CSTC;EXE_SOI_AMF;$;6;0;String
MCO_CSTC;EXE_SOI_DTD;DATETIME;20;0;Date
MCO_CSTC;EXE_SOI_DTF;DATETIME;20;0;Date
MCO_CSTC;IAS_RET;$;1;0;String
MCO_CSTC;NAI_RET;$;1;0;String
MCO_CSTC;NIR_ANO_17;$;17;0;String
MCO_CSTC;NIR_RET;$;1;0;String
MCO_CSTC;SEJ_NUM;$;5;0;String
MCO_CSTC;SEQ_NUM;$;8;0;String
MCO_CSTC;SEX_RET;$;1;0;String
MCO_CSTC;SOR_DAT;$;8;0;String
MCO_CSTC;RNG_BEN;$;3;1;String
MCO_CSTC;RNG_BEN_CTL;$;3;1;String
MCO_CSTC;RNG_NAI;$;3;1;String
MCO_CSTC;RNG_NAI_CTL;$;3;1;String
MCO_FASTC;AGE_ANN;$;8;4;Double
MCO_FASTC;BDI_DEP;$;2;;String
MCO_FASTC;COD_CIV;$;1;;String
MCO_FASTC;COD_SEX;$;1;;String
MCO_FASTC;ETA_NUM;$;9;;String
MCO_FASTC;EXO_TM;$;1;;String
MCO_FASTC;FIDES_TOP;$;1;;String
MCO_FASTC;GES_COD;$;2;;String
MCO_FASTC;HON_AM_MNR;;8;10;Double
MCO_FASTC;HON_MNT;;8;10;Double
MCO_FASTC;HON_OC_MNR;;8;10;Double
MCO_FASTC;NAT_ASS;$;2;;String
MCO_FASTC;NOE_RGM;$;2;;String
MCO_FASTC;NON_SEJ_FAC_AM;$;1;;String
MCO_FASTC;NUM_DAT_AT;$;9;;String
MCO_FASTC;NUM_FAC;$;3;;String
MCO_FASTC;OPE_NAT;$;1;;String
MCO_FASTC;ORG_CPL_NUM;$;10;;String
MCO_FASTC;PAS_OC_MNT;;8;10;Double
MCO_FASTC;PAT_CMU;$;1;;String
MCO_FASTC;PH_AMO_MNR;;8;10;Double
MCO_FASTC;PH_BRM;;8;10;Double
MCO_FASTC;PH_MNT;;8;10;Double
MCO_FASTC;PH_OC_MNR;;8;10;Double
MCO_FASTC;PS_IND;$;1;;String
MCO_FASTC;RSF_TYP;$;1;;String
MCO_FASTC;SEJ_FAC_AM;$;1;;String
MCO_FASTC;SEQ_NUM;$;8;;String
MCO_FASTC;SOR_ANN;$;4;;String
MCO_FASTC;SOR_MOI;$;2;;String
MCO_FASTC;TYP_ART;$;1;;String
MCO_CSTC;NUM_ENQ;$;5;0;String
MCO_FASTC;BDI_COD;$;5;0;String
MCO_FMSTC;ETA_NUM_GEO;$;9;0;String
MCO_CSTC;ETA_NUM_GEO;$;9;0;String
MCO_FASTC;ETA_NUM_GEO;$;9;0;String
MCO_FASTC;RNG_BEN;$;3;1;String
MCO_FASTC;RNG_BEN_CTL;$;3;1;String
MCO_FASTC;RNG_NAI;$;3;1;String
MCO_FASTC;RNG_NAI_CTL;$;3;1;String
